local_id,terminal_code,name_vi,loai_hinh,parent_code,valid_from,valid_to,wikidata_qid,qid_status,match_status,candidate_qids,match_notes
w-1091109-base,12403,Xã Minh Hoàng,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091111-base,12406,Xã Đoàn Đào,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091113-base,12409,Xã Tống Phan,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091115-base,12412,Xã Đình Cao,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091117-base,12415,Xã Nhật Quang,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091119-base,12418,Xã Tiền Tiến,Xã,333,,2024-11-30,,,deferred-historical,,
w-1091121-base,12421,Xã Tam Đa,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091123-base,12424,Xã Tiên Tiến,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091125-base,12427,Xã Nguyên Hòa,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091127-base,12430,Xã Tống Trân,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091301-base,12337,Thị trấn Vương,Thị trấn,332,,2025-06-30,,,deferred-historical,,
w-1091303-base,12340,Xã Hưng Đạo,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091305-base,12343,Xã Ngô Quyền,Xã,332,,2024-11-30,,,deferred-historical,,
w-1091307-base,12346,Xã Nhật Tân,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091309-base,12349,Xã Dị Chế,Xã,332,,2024-11-30,,,deferred-historical,,
w-1091311-base,12352,Xã Lệ Xá,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091313-base,11971,Xã Trung Nghĩa,Xã,323,,2025-06-30,,,deferred-historical,,
w-1091315-base,12355,Xã An Viên,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091317-base,12358,Xã Đức Thắng,Xã,332,,2024-11-30,,,deferred-historical,,
w-1091319-base,12361,Xã Trung Dũng,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091321-base,12364,Xã Hải Thắng,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091323-base,11974,Xã Liên Phương,Xã,323,,2025-06-30,,,deferred-historical,,
w-1091325-base,12367,Xã Thủ Sỹ,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091327-base,12370,Xã Thiện Phiến,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091329-base,12373,Xã Thụy Lôi,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091331-base,12376,Xã Cương Chính,Xã,332,,2025-06-30,,,deferred-historical,,
w-1091333-base,12379,Xã Minh Phượng,Xã,332,,2024-11-30,,,deferred-historical,,
w-1091335-base,12382,Xã Phương Chiểu,Xã,323,,2024-11-30,,,deferred-historical,,
w-1091337-base,11980,Xã Quảng Châu,Xã,323,,2025-06-30,,,deferred-historical,,
w-1091339-base,11977,Xã Phương Nam,Xã,323,,2025-06-30,,,deferred-historical,,
w-1091341-base,12385,Xã Tân Hưng,Xã,323,,2025-06-30,,,deferred-historical,,
w-1091343-base,12388,Xã Hoàng Hanh,Xã,323,,2025-06-30,,,deferred-historical,,
w-10930-2025-07-01,10930,Xã Mao Điền,Xã,31,2025-07-01,,,,needs-review,Q10796210|Q138637709,"2 label candidate(s), but no bulk P131 resolves to the current province"
w-10945-2025-07-01,10945,Xã Kẻ Sặt,Xã,31,2025-07-01,,Q10783653,existing,matched,Q10783653,qlever-label+current-province+batched-wbgetentities
w-10966-2025-07-01,10966,Xã Bình Giang,Xã,31,2025-07-01,,,,needs-review,Q2541664|Q10742387|Q10772129,"3 label candidate(s), but no bulk P131 resolves to the current province"
w-10972-2025-07-01,10972,Xã Đường An,Xã,31,2025-07-01,,,,needs-lookup,,no folded label or alias candidate
w-10993-2025-07-01,10993,Xã Thượng Hồng,Xã,31,2025-07-01,,,,needs-review,Q131342536,"1 label candidate(s), but no bulk P131 resolves to the current province"
w-10999-2025-07-01,10999,Xã Gia Lộc,Xã,31,2025-07-01,,Q10761356,existing,matched,Q10761354|Q10761355|Q10761356,qlever-label+current-province+batched-wbgetentities
w-11002-2025-07-01,11002,Phường Thạch Khôi,Phường,31,2025-07-01,,Q10826162,existing,matched,Q10826162,qlever-label+current-province+batched-wbgetentities
w-11020-2025-07-01,11020,Xã Yết Kiêu,Xã,31,2025-07-01,,Q10838333,existing,matched,Q10838333,qlever-label+current-province+batched-wbgetentities
w-11050-2025-07-01,11050,Xã Gia Phúc,Xã,31,2025-07-01,,,,needs-lookup,,no folded label or alias candidate
w-11065-2025-07-01,11065,Xã Trường Tân,Xã,31,2025-07-01,,,,needs-review,Q131534459,"1 label candidate(s), but no bulk P131 resolves to the current province"
w-11074-2025-07-01,11074,Xã Tứ Kỳ,Xã,31,2025-07-01,,Q10831828,existing,matched,Q10831828,qlever-label+current-province+batched-wbgetentities
w-11086-2025-07-01,11086,Xã Đại Sơn,Xã,31,2025-07-01,,Q10783730,existing,matched,Q2170221|Q2235984|Q10783730|Q10840410|Q10841147|Q10841148|Q10841149,qlever-label+current-province+batched-wbgetentities
w-1110101-base,13300,Phường Trần Hưng Đạo,Phường,347,,2024-12-31,,,deferred-historical,,
w-1110102-base,13291,Phường Lê Hồng Phong,Phường,347,,2025-06-30,,,deferred-historical,,
w-1110103-base,13294,Phường Châu Cầu,Phường,347,,2025-06-30,,,deferred-historical,,
w-1110104-base,13285,Phường Quang Trung,Phường,347,,2025-06-30,,,deferred-historical,,
w-1110105-base,13297,Phường Hai Bà Trưng,Phường,347,,2024-12-31,,,deferred-historical,,
w-1110107-base,13288,Phường Lương Khánh Thiện,Phường,347,,2024-12-31,,,deferred-historical,,
w-1110109-base,13315,Phường Thanh Châu,Phường,347,,2025-06-30,,,deferred-historical,,
w-1110111-base,13309,Phường Liêm Chính,Phường,347,,2025-06-30,,,deferred-historical,,
w-1110113-base,13306,Xã Phù Vân,Xã,347,,2025-06-30,,,deferred-historical,,
w-1110115-base,13318,Phường Châu Sơn,Phường,347,,2025-06-30,,,deferred-historical,,
w-1110117-base,13303,Phường Lam Hạ,Phường,347,,2025-06-30,,,deferred-historical,,
w-1110119-base,13312,Xã Liêm Chung,Xã,347,,2024-12-31,,,deferred-historical,,
w-1110301-base,13324,Phường Hòa Mạc,Phường,349,,2025-06-30,,,deferred-historical,,
w-1110303-base,13321,Phường Đồng Văn,Phường,349,,2025-06-30,,,deferred-historical,,
w-1110305-base,13336,Phường Duy Minh,Phường,349,,2025-06-30,,,deferred-historical,,
w-1110307-base,13342,Phường Duy Hải,Phường,349,,2025-06-30,,,deferred-historical,,
w-1110309-base,13333,Phường Bạch Thượng,Phường,349,,2025-06-30,,,deferred-historical,,
